video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Assault010,D_random,10.0,3,16177,2,1022,1617,1.0,0.08708414872798434,0.055040197897340756,
Assault010,D_random,10.0,4,16177,2,1022,1617,1.0,0.08512720156555773,0.05380333951762523,
Assault010,C_uniform,10.5,,16177,2,1022,1698,1.0,0.10469667318982387,0.06301531213191991,
Assault010,D_random,10.5,0,16177,2,1022,1698,1.0,0.09686888454011741,0.05830388692579505,
Assault010,D_random,10.5,1,16177,2,1022,1698,1.0,0.11448140900195694,0.06890459363957598,
Assault010,D_random,10.5,2,16177,2,1022,1698,1.0,0.11448140900195694,0.06890459363957598,
Assault010,D_random,10.5,3,16177,2,1022,1698,1.0,0.08904109589041095,0.0535924617196702,
Assault010,D_random,10.5,4,16177,2,1022,1698,1.0,0.08904109589041095,0.0535924617196702,
Assault010,C_uniform,20.0,,16177,2,1022,3235,1.0,0.20058708414872797,0.0633693972179289,
Assault010,D_random,20.0,0,16177,2,1022,3235,1.0,0.20645792563600782,0.06522411128284389,
Assault010,D_random,20.0,1,16177,2,1022,3235,1.0,0.22113502935420742,0.06986089644513138,
Assault010,D_random,20.0,2,16177,2,1022,3235,1.0,0.19863013698630136,0.06275115919629057,
Assault010,D_random,20.0,3,16177,2,1022,3235,1.0,0.18493150684931506,0.05842349304482226,
Assault010,D_random,20.0,4,16177,2,1022,3235,1.0,0.1917808219178082,0.060587326120556416,
Assault010,C_uniform,30.0,,16177,2,1022,4853,1.0,0.299412915851272,0.06305378116628889,
Assault010,D_random,30.0,0,16177,2,1022,4853,1.0,0.2974559686888454,0.06264166494951576,
Assault010,D_random,30.0,1,16177,2,1022,4853,1.0,0.32778864970645794,0.06902946630949928,
Assault010,D_random,30.0,2,16177,2,1022,4853,1.0,0.2896281800391389,0.060993200082423246,
Assault010,D_random,30.0,3,16177,2,1022,4853,1.0,0.2759295499021526,0.058108386565011334,
Assault010,D_random,30.0,4,16177,2,1022,4853,1.0,0.2945205479452055,0.06202349062435607,
