video_id,qid,question_type,question_family,gold_span_length_s,span_bucket,survived,total_frames,survivor_count,retention_pct
6356067859,2,CW,causal,2.2,short,True,1070,143,13.364
2454242177,1,TC,temporal,3.3,long,True,1574,212,13.469
7492398760,2,CW,causal,31.7,long,True,2697,361,13.385
8388104887,0,CH,causal,1.1,short,True,1233,178,14.436
5328616848,1,CW,causal,2.8,long,True,446,60,13.453
5803861992,7,TC,temporal,33.5,long,True,2145,290,13.52
6754608321,3,CH,causal,8.2,long,True,1617,216,13.358
4978714491,1,CW,causal,6.2,long,True,1200,160,13.333
5854324479,2,CW,causal,16.2,long,True,519,70,13.487
2925298951,8,CW,causal,6.2,long,True,398,54,13.568
2679130168,8,TC,temporal,4.5,long,True,1504,202,13.431
3445431963,4,TP,temporal,7.6,long,True,1276,171,13.401
6239210933,5,TN,temporal,16.2,long,True,1030,138,13.398
4650556666,6,CW,causal,10.6,long,True,567,76,13.404
4626085492,2,CH,causal,7.3,long,True,638,86,13.48
4264435046,4,TC,temporal,5.4,long,True,566,76,13.428
5256928210,2,CW,causal,10.8,long,True,606,82,13.531
6142416815,4,TN,temporal,1.6,short,True,1267,170,13.418
3846475848,3,CW,causal,46.3,long,True,2138,287,13.424
2821788355,8,TN,temporal,3.7,long,True,765,103,13.464
5429688959,4,TC,temporal,82.6,long,True,2490,333,13.373
2495861393,2,CW,causal,15.8,long,True,1499,201,13.409
6618792571,1,CW,causal,15.7,long,True,2518,336,13.344
4251505427,5,TN,temporal,5.8,long,True,2290,306,13.362
2559262403,1,CW,causal,8.8,long,True,2158,288,13.346
2400171624,1,CW,causal,2.8,long,True,996,135,13.554
8132842161,0,CW,causal,7.7,long,True,1105,148,13.394
4465235803,3,TN,temporal,6.5,long,True,1014,136,13.412
7988210561,5,TN,temporal,3.4,long,True,320,43,13.438
2925298951,2,CW,causal,6.2,long,True,398,54,13.568
3218498932,7,TN,temporal,1.9,short,True,892,120,13.453
6300775954,2,TC,temporal,4.3,long,True,1734,232,13.379
2821788355,10,CW,causal,4.8,long,True,765,103,13.464
6097994550,5,TC,temporal,3.4,long,True,526,71,13.498
4518113460,3,CW,causal,5.3,long,True,1867,250,13.39
6895608152,1,CW,causal,6.2,long,True,2178,291,13.361
7533369046,1,CW,causal,13.1,long,True,803,108,13.45
3830567237,8,TC,temporal,5.4,long,True,716,96,13.408
8428551576,0,CW,causal,3.4,long,True,2688,359,13.356
3960291106,3,CW,causal,5.8,long,True,1428,191,13.375
4915733559,3,CW,causal,2.9,long,True,1069,143,13.377
6097994550,3,TC,temporal,3.4,long,True,526,71,13.498
5333075105,8,CW,causal,5.2,long,True,1168,156,13.356
5662041273,11,CW,causal,8.0,long,True,2697,361,13.385
3861485381,6,TN,temporal,15.4,long,True,2686,359,13.366
5328616848,4,TN,temporal,2.0,short,True,446,60,13.453
9917882506,0,CW,causal,4.9,long,True,974,115,11.807
5833145209,4,CH,causal,0.9,short,True,510,68,13.333
6713120511,1,CH,causal,15.5,long,True,1664,223,13.401
