arm,query_mode,traversal,scope,metric,value,n
B,legacy,none,type=CH,mean_ppr_calls,3.857142857142857,392
B,legacy,none,type=CH,max_ppr_calls,5,392
B,legacy,none,type=CH,avg_context_frames,4.0,392
B,legacy,none,type=CH,max_context_frames_observed,4,392
B,legacy,none,type=TN,n,704,704
B,legacy,none,type=TN,gold_frame_at_4,0.47301136363636365,704
B,legacy,none,type=TN,anchor_in_gold_at_1,0.21306818181818182,704
B,legacy,none,type=TN,mIoP,0.23531630255681818,704
B,legacy,none,type=TN,mIoU,0.1476809559659091,704
B,legacy,none,type=TN,IoP@0.3,0.3096590909090909,704
B,legacy,none,type=TN,IoP@0.5,0.24147727272727273,704
B,legacy,none,type=TN,IoU@0.3,0.23579545454545456,704
B,legacy,none,type=TN,IoU@0.5,0.12357954545454546,704
B,legacy,none,type=TN,zero_width_count,0,704
B,legacy,none,type=TN,zero_width_rate,0.0,704
B,legacy,none,type=TN,invalid_span_count,0,704
B,legacy,none,type=TN,mean_pred_span_width,4.26698465909091,704
B,legacy,none,type=TN,median_retrieval_ms,14.5265,704
B,legacy,none,type=TN,p95_retrieval_ms,17.2875,704
B,legacy,none,type=TN,mean_ppr_calls,3.9048295454545454,704
B,legacy,none,type=TN,max_ppr_calls,4,704
B,legacy,none,type=TN,avg_context_frames,4.0,704
B,legacy,none,type=TN,max_context_frames_observed,4,704
B,legacy,none,type=TP,n,37,37
B,legacy,none,type=TP,gold_frame_at_4,0.4864864864864865,37
B,legacy,none,type=TP,anchor_in_gold_at_1,0.21621621621621623,37
B,legacy,none,type=TP,mIoP,0.22588491891891893,37
B,legacy,none,type=TP,mIoU,0.13604105405405406,37
B,legacy,none,type=TP,IoP@0.3,0.2702702702702703,37
B,legacy,none,type=TP,IoP@0.5,0.21621621621621623,37
B,legacy,none,type=TP,IoU@0.3,0.1891891891891892,37
B,legacy,none,type=TP,IoU@0.5,0.10810810810810811,37
B,legacy,none,type=TP,zero_width_count,0,37
B,legacy,none,type=TP,zero_width_rate,0.0,37
B,legacy,none,type=TP,invalid_span_count,0,37
B,legacy,none,type=TP,mean_pred_span_width,4.2291081081081074,37
B,legacy,none,type=TP,median_retrieval_ms,14.148,37
B,legacy,none,type=TP,p95_retrieval_ms,17.021300000000004,37
B,legacy,none,type=TP,mean_ppr_calls,3.7567567567567566,37
B,legacy,none,type=TP,max_ppr_calls,4,37
B,legacy,none,type=TP,avg_context_frames,4.0,37
B,legacy,none,type=TP,max_context_frames_observed,4,37
B,legacy,none,type=TC,n,380,380
B,legacy,none,type=TC,gold_frame_at_4,0.5789473684210527,380
B,legacy,none,type=TC,anchor_in_gold_at_1,0.36578947368421055,380
B,legacy,none,type=TC,mIoP,0.3381856236842105,380
B,legacy,none,type=TC,mIoU,0.1643495394736842,380
B,legacy,none,type=TC,IoP@0.3,0.41842105263157897,380
B,legacy,none,type=TC,IoP@0.5,0.35,380
B,legacy,none,type=TC,IoU@0.3,0.22894736842105262,380
B,legacy,none,type=TC,IoU@0.5,0.12105263157894737,380
B,legacy,none,type=TC,zero_width_count,0,380
B,legacy,none,type=TC,zero_width_rate,0.0,380
B,legacy,none,type=TC,invalid_span_count,0,380
B,legacy,none,type=TC,mean_pred_span_width,4.250966052631579,380
B,legacy,none,type=TC,median_retrieval_ms,10.995000000000001,380
B,legacy,none,type=TC,p95_retrieval_ms,15.775099999999998,380
B,legacy,none,type=TC,mean_ppr_calls,3.031578947368421,380
B,legacy,none,type=TC,max_ppr_calls,4,380
B,legacy,none,type=TC,avg_context_frames,4.0,380
B,legacy,none,type=TC,max_context_frames_observed,4,380
B,legacy,none,gold_width=<2s,n,278,278
B,legacy,none,gold_width=<2s,gold_frame_at_4,0.34172661870503596,278
B,legacy,none,gold_width=<2s,anchor_in_gold_at_1,0.14028776978417265,278
B,legacy,none,gold_width=<2s,mIoP,0.08407908633093525,278
B,legacy,none,gold_width=<2s,mIoU,0.0817038381294964,278
B,legacy,none,gold_width=<2s,IoP@0.3,0.1223021582733813,278
B,legacy,none,gold_width=<2s,IoP@0.5,0.007194244604316547,278
B,legacy,none,gold_width=<2s,IoU@0.3,0.11870503597122302,278
B,legacy,none,gold_width=<2s,IoU@0.5,0.007194244604316547,278
B,legacy,none,gold_width=<2s,zero_width_count,0,278
