video,qid,backbone,approx_retrieved_in_gold,top1_in_gold
14012319794,0,siglip2_base_patch16_224,True,True
14012319794,3,siglip2_base_patch16_224,False,False
14012319794,6,siglip2_base_patch16_224,False,False
14012319794,5,siglip2_base_patch16_224,False,False
14012319794,2,siglip2_base_patch16_224,True,True
2920952624,4,siglip2_base_patch16_224,False,False
2920952624,7,siglip2_base_patch16_224,False,False
2920952624,3,siglip2_base_patch16_224,False,False
2920952624,9,siglip2_base_patch16_224,False,False
2920952624,1,siglip2_base_patch16_224,True,True
2920952624,8,siglip2_base_patch16_224,False,False
2920952624,2,siglip2_base_patch16_224,False,False
2920952624,6,siglip2_base_patch16_224,False,False
3124551255,2,siglip2_base_patch16_224,True,False
3124551255,8,siglip2_base_patch16_224,False,False
3124551255,5,siglip2_base_patch16_224,True,True
3124551255,7,siglip2_base_patch16_224,False,False
3124551255,4,siglip2_base_patch16_224,True,False
3124551255,6,siglip2_base_patch16_224,False,False
3124551255,10,siglip2_base_patch16_224,False,False
3124551255,9,siglip2_base_patch16_224,False,False
3452354871,1,siglip2_base_patch16_224,True,False
3452354871,4,siglip2_base_patch16_224,True,False
3452354871,9,siglip2_base_patch16_224,True,False
3452354871,3,siglip2_base_patch16_224,False,False
3452354871,0,siglip2_base_patch16_224,False,False
3452354871,2,siglip2_base_patch16_224,False,False
3452354871,6,siglip2_base_patch16_224,True,True
3452354871,5,siglip2_base_patch16_224,True,True
4087013668,5,siglip2_base_patch16_224,True,False
4087013668,0,siglip2_base_patch16_224,True,False
4087013668,7,siglip2_base_patch16_224,False,False
4087013668,1,siglip2_base_patch16_224,False,False
4087013668,2,siglip2_base_patch16_224,True,False
4087013668,4,siglip2_base_patch16_224,True,True
4087013668,8,siglip2_base_patch16_224,False,False
4087013668,3,siglip2_base_patch16_224,True,True
4087654898,0,siglip2_base_patch16_224,True,True
4087654898,7,siglip2_base_patch16_224,False,False
4087654898,6,siglip2_base_patch16_224,True,False
4087654898,5,siglip2_base_patch16_224,True,True
4087654898,3,siglip2_base_patch16_224,True,True
4087654898,1,siglip2_base_patch16_224,True,False
4087654898,8,siglip2_base_patch16_224,True,True
4087654898,2,siglip2_base_patch16_224,False,False
4123211145,3,siglip2_base_patch16_224,False,False
4123211145,9,siglip2_base_patch16_224,True,False
4123211145,1,siglip2_base_patch16_224,True,False
4123211145,8,siglip2_base_patch16_224,True,False
4123211145,5,siglip2_base_patch16_224,True,True
4123211145,4,siglip2_base_patch16_224,True,True
4123211145,10,siglip2_base_patch16_224,False,False
4123211145,6,siglip2_base_patch16_224,False,False
4273039295,4,siglip2_base_patch16_224,True,True
4273039295,8,siglip2_base_patch16_224,False,False
4273039295,7,siglip2_base_patch16_224,True,False
4273039295,5,siglip2_base_patch16_224,True,False
4273039295,12,siglip2_base_patch16_224,True,True
4273039295,6,siglip2_base_patch16_224,True,True
4273039295,9,siglip2_base_patch16_224,True,False
4273039295,11,siglip2_base_patch16_224,True,True
4279106208,10,siglip2_base_patch16_224,True,False
4279106208,3,siglip2_base_patch16_224,True,False
4279106208,5,siglip2_base_patch16_224,True,False
4279106208,7,siglip2_base_patch16_224,True,False
4279106208,0,siglip2_base_patch16_224,True,True
4279106208,4,siglip2_base_patch16_224,False,False
4279106208,9,siglip2_base_patch16_224,True,True
4279106208,1,siglip2_base_patch16_224,True,True
4822859674,2,siglip2_base_patch16_224,True,True
4822859674,9,siglip2_base_patch16_224,True,False
4822859674,8,siglip2_base_patch16_224,True,True
4822859674,4,siglip2_base_patch16_224,True,False
4822859674,1,siglip2_base_patch16_224,False,False
4822859674,0,siglip2_base_patch16_224,False,False
4822859674,3,siglip2_base_patch16_224,False,False
4822859674,5,siglip2_base_patch16_224,False,False
7330294814,7,siglip2_base_patch16_224,False,False
7330294814,2,siglip2_base_patch16_224,True,True
7330294814,5,siglip2_base_patch16_224,False,False
7330294814,1,siglip2_base_patch16_224,True,True
7330294814,3,siglip2_base_patch16_224,True,True
7330294814,6,siglip2_base_patch16_224,True,False
7330294814,8,siglip2_base_patch16_224,False,False
7330294814,0,siglip2_base_patch16_224,True,True
7651639778,7,siglip2_base_patch16_224,True,False
7651639778,1,siglip2_base_patch16_224,False,False
7651639778,2,siglip2_base_patch16_224,True,True
7651639778,0,siglip2_base_patch16_224,True,True
7651639778,5,siglip2_base_patch16_224,False,False
7651639778,3,siglip2_base_patch16_224,True,True
7651639778,6,siglip2_base_patch16_224,True,False
7651639778,4,siglip2_base_patch16_224,True,False
9256409422,7,siglip2_base_patch16_224,False,False
9256409422,8,siglip2_base_patch16_224,True,True
9256409422,2,siglip2_base_patch16_224,True,True
9256409422,6,siglip2_base_patch16_224,False,False
9256409422,5,siglip2_base_patch16_224,True,False
9256409422,9,siglip2_base_patch16_224,True,False
9256409422,3,siglip2_base_patch16_224,True,False
9256409422,1,siglip2_base_patch16_224,True,False
10727696143,4,siglip2_base_patch16_224,True,True
10727696143,5,siglip2_base_patch16_224,False,False
10727696143,1,siglip2_base_patch16_224,False,False
10727696143,8,siglip2_base_patch16_224,False,False
10727696143,6,siglip2_base_patch16_224,False,False
10727696143,7,siglip2_base_patch16_224,False,False
10727696143,0,siglip2_base_patch16_224,True,True
11276567104,3,siglip2_base_patch16_224,False,False
11276567104,8,siglip2_base_patch16_224,True,False
11276567104,6,siglip2_base_patch16_224,False,False
11276567104,0,siglip2_base_patch16_224,True,False
11276567104,1,siglip2_base_patch16_224,False,False
11276567104,4,siglip2_base_patch16_224,False,False
11276567104,5,siglip2_base_patch16_224,False,False
