video,qid,ppr_lambda,any_in_gold,top1_in_gold,anchor_in_gold,iop,iou
4136617240,3,0.5,True,True,True,1.0,0.10864
2821968703,9,0.5,True,True,True,0.69795,0.66343
5586394125,2,0.5,False,False,False,0.0,0.0
5352022985,7,0.5,True,True,True,1.0,0.51163
7508439506,3,0.5,False,False,False,0.10471,0.09521
2589540862,5,0.5,False,False,False,0.57152,0.32111
3469864014,1,0.5,False,False,False,0.47659,0.46569
5586394125,4,0.5,False,False,False,0.17028,0.12181
6096998186,1,0.5,True,False,True,1.0,0.34921
2810112808,3,0.5,True,True,False,0.0,0.0
5889898795,1,0.5,False,False,False,0.0,0.0
2885091387,4,0.5,True,False,False,0.25,0.25
11670386946,6,0.5,True,True,True,0.81099,0.64508
2510696559,1,0.5,True,True,True,0.47727,0.47727
8752043000,2,0.5,False,False,False,0.01474,0.00743
4087654898,8,0.5,False,False,False,0.09624,0.08342
6018514357,8,0.5,False,False,False,0.0,0.0
5889898795,6,0.5,False,False,False,0.0,0.0
11587211476,0,0.5,True,False,False,0.0,0.0
4757890069,2,0.5,False,False,False,0.0,0.0
10597533885,1,0.5,False,False,False,0.0,0.0
3851961428,7,0.5,False,False,False,0.0,0.0
7691172922,6,0.5,True,False,False,0.0,0.0
5047408177,8,0.5,True,False,True,1.0,0.7037
4626535366,2,0.5,True,True,True,0.66175,0.08024
3489439407,6,0.5,True,False,True,0.50327,0.15833
5603283408,1,0.5,True,True,True,0.58428,0.41271
8752043000,5,0.5,True,False,False,0.0,0.0
8990144134,6,0.5,True,False,False,0.0,0.0
11565498775,10,0.5,True,False,False,0.0,0.0
11584566583,1,0.5,True,True,True,1.0,0.54321
3939145327,6,0.5,True,False,True,0.8215,0.71078
2589540862,4,0.5,False,False,False,0.0,0.0
4635309062,3,0.5,True,True,True,1.0,0.13793
5421648216,0,0.5,True,True,True,1.0,0.10304
6205856607,4,0.5,False,False,False,0.0,0.0
3249402410,8,0.5,True,True,True,1.0,0.275
3175315183,3,0.5,False,False,False,0.0,0.0
7888256388,3,0.5,False,False,False,0.06319,0.03696
7888256388,5,0.5,True,True,False,0.0,0.0
4179163342,1,0.5,True,True,True,1.0,0.08818
10109097475,4,0.5,False,False,False,0.0,0.0
4083875373,3,0.5,False,False,False,0.0,0.0
7499763064,2,0.5,True,False,True,0.80438,0.75939
2920952624,2,0.5,False,False,False,0.0,0.0
5421648216,4,0.5,True,True,True,1.0,0.1028
2920952624,6,0.5,True,False,False,0.0,0.0
7887764754,2,0.5,True,True,True,0.38636,0.38636
3249402410,0,0.5,False,False,False,0.0,0.0
4136617240,2,0.5,False,False,False,0.0,0.0
3452354871,5,0.5,True,False,True,0.68432,0.36769
3935853204,6,0.5,True,True,True,1.0,0.50575
